Store,Saleable Quantity,State
"Las Vegas NW3210 N Tenaya Way Las Vegas, NV 89129-6239",126,NV
"Las Vegas Boca Park8750 W Charleston Blvd Las Vegas, NV 89117-5452",190,NV
"Las Vegas East1200 S Nellis Blvd Las Vegas, NV 89104-5752",62,NV
"West Las Vegas3550 S Rainbow Blvd Las Vegas, NV 89103-1004",121,NV
"Las Vegas Flamingo4001 S Maryland Pkwy Las Vegas, NV 89119-7556",87,NV
"Las Vegas Far SW4155 S Grand Canyon Dr Las Vegas, NV 89147-7123",80,NV
"St George275 S River Rd Saint George, UT 84790-2116",238,UT
"Henderson605 N Stephanie St Henderson, NV 89014-2612",4,NV
"Las Vegas Blue Diamond4100 Blue Diamond Rd Las Vegas, NV 89139-7717",10,NV
"Henderson South350 W Lake Mead Pkwy Henderson, NV 89015-7088",3,NV
"Las Vegas Silverado Ranch9725 S Eastern Ave Las Vegas, NV 89183-6841",167,NV
"Henderson SW695 S Green Valley Pkwy Henderson, NV 89052-0404",107,NV
"Apple Valley North20288 US Highway 18 Apple Valley, CA 92307-2937",116,CA
"Bullhead City3699 Hwy 95 Bullhead City, AZ 86442-9119",20,AZ
"Apple Valley19201 Bear Valley Rd Apple Valley, CA 92308-6763",187,CA
"Hesperia12795 Main St Hesperia, CA 92345-9110",76,CA
"Orem State Street175 W Center St Orem, UT 84057-4607",0,UT
"American Fork608 W Main St American Fork, UT 84003-9762",229,UT
"Fort Union7025 S Park Centre Dr Salt Lake City, UT 84121-6619",270,UT
"Sandy South Towne10130 S State St Sandy, UT 84070-4118",37,UT
"West Jordan6748 Redwood Rd West Jordan, UT 84084-2403",160,UT
"Salt Lake City1110 S 300 W Salt Lake City, UT 84101-3053",128,UT
"South Jordan11525 Parkway Plaza Dr South Jordan, UT 84095-5605",151,UT
"West Jordan SW7779 Jordan Landing Blvd West Jordan, UT 84084-1975",153,UT
"West Valley City5518 W High Market Dr West Valley City, UT 84120",116,UT
"Casper401 SE Wyoming Blvd Casper, WY 82609-4219",104,WY
"Minot2400 10th St SW Minot, ND 58701-2013",216,ND
"Oceanside2255 S El Camino Real Oceanside, CA 92054-6318",147,CA
"Vista1751 University Dr Vista, CA 92083-7775",122,CA
"Vista South3150 Business Park Dr Vista, CA 92081-8520",144,CA
"Encinitas1010 N El Camino Real Encinitas, CA 92024-1320",198,CA
"Escondido1280 Auto Park Way Escondido, CA 92029-2231",73,CA
"San Diego Del Sur17170 Camino Del Sur San Diego, CA 92127-4166",194,CA
"Escondido South280 E Via Rancho Pkwy Escondido, CA 92025-8005",121,CA
"Poway14823 Pomerado Rd Poway, CA 92064-2803",200,CA
"Mira Mesa8251 Mira Mesa Blvd San Diego, CA 92126-2603",163,CA
"San Clemente990 Avenida Vista Hermosa San Clemente, CA 92673-6360",143,CA
"Rancho California29676 Rancho California Rd Temecula, CA 92591-5283",221,CA
"Murrieta41040 California Oaks Rd Murrieta, CA 92562-5749",143,CA
"Balboa5680 Balboa Ave San Diego, CA 92111-2702",269,CA
"Kearny Mesa8001 Othello Ave San Diego, CA 92111-3713",181,CA
"Murrieta North27818 Clinton Keith Rd Murrieta, CA 92562-8554",160,CA
"Sports Arena3245 Sports Arena Blvd San Diego, CA 92110-4529",288,CA
"San Diego Mission Valley1288 Camino Del Rio N San Diego, CA 92108-1511",110,CA
"Santee9846 Mission Gorge Rd Santee, CA 92071-3834",214,CA
"Aliso Viejo26932 La Paz Rd Aliso Viejo, CA 92656-3038",190,CA
"Rancho Santa Margarita30602 Santa Margarita Pkwy Rancho Santa Margarita, CA 92688-2814",141,CA
"La Quinta78935 US Hwy 111 La Quinta, CA 92253-2072",120,CA
"Palm Desert72549 Highway 111 Palm Desert, CA 92260-3306",155,CA
"Palm Springs67750 E Palm Canyon Dr Cathedral City, CA 92234-5441",105,CA
"El Centro2295 N Imperial Ave El Centro, CA 92243-1335",47,CA
"Yuma1450 S Yuma Palms Pkwy Yuma, AZ 85365-1707",98,AZ
"Hemet3527 W Florida Ave Hemet, CA 92545-3564",177,CA
"Grand Junction2424 Highway 6 and 50 Grand Junction, CO 81505-1109",158,CO
"Glenwood Springs110 W Meadows Dr Glenwood Springs, CO 81601-9516",119,CO
"Flagstaff1650 S Milton Rd Flagstaff, AZ 86001-0802",166,AZ
"Bismarck600 Kirkwood Mall Bismarck, ND 58504-5704",317,ND
"Rapid City1415 Eglin St Rapid City, SD 57701-9504",227,SD
"Surprise13731 W Bell Rd Surprise, AZ 85374-3871",137,AZ
"Goodyear West995 S Cotton Ln Goodyear, AZ 85338-4604",91,AZ
"Goodyear1515 N Litchfield Rd Goodyear, AZ 85395-1237",0,AZ
"Peoria Far North24890 N Lake Pleasant Pkwy Peoria, AZ 85383-1348",136,AZ
"Peoria SW9350 W Northern Ave Glendale, AZ 85305-1103",141,AZ
"Peoria North8055 W Bell Rd Peoria, AZ 85382-3806",198,AZ
"Phoenix SW9830 W Lower Buckeye Rd Tolleson, AZ 85353-9424",95,AZ
"Westridge7409 W Virginia Ave Phoenix, AZ 85035-1336",89,AZ
